length,total,population,start_date,end_date,question,status,count
30 days or less,321,all_persons,2020-11-01,2020-11-30,Q22a1,leavers,171
30 days or less,321,all_persons,2020-11-01,2020-11-30,Q22a1,stayers,150
31 to 60 days,110,all_persons,2020-11-01,2020-11-30,Q22a1,leavers,15
31 to 60 days,110,all_persons,2020-11-01,2020-11-30,Q22a1,stayers,95
61 to 90 days,58,all_persons,2020-11-01,2020-11-30,Q22a1,leavers,5
61 to 90 days,58,all_persons,2020-11-01,2020-11-30,Q22a1,stayers,53
91 to 180 days,143,all_persons,2020-11-01,2020-11-30,Q22a1,leavers,9
91 to 180 days,143,all_persons,2020-11-01,2020-11-30,Q22a1,stayers,134
181 to 365 days,128,all_persons,2020-11-01,2020-11-30,Q22a1,leavers,7
181 to 365 days,128,all_persons,2020-11-01,2020-11-30,Q22a1,stayers,121
366 to 730 Days (1-2 Yrs),249,all_persons,2020-11-01,2020-11-30,Q22a1,leavers,0
366 to 730 Days (1-2 Yrs),249,all_persons,2020-11-01,2020-11-30,Q22a1,stayers,249
"731 to 1,095 Days (2-3 Yrs)",97,all_persons,2020-11-01,2020-11-30,Q22a1,leavers,0
"731 to 1,095 Days (2-3 Yrs)",97,all_persons,2020-11-01,2020-11-30,Q22a1,stayers,97
"1,096 to 1,460 Days (3-4 Yrs)",31,all_persons,2020-11-01,2020-11-30,Q22a1,leavers,0
"1,096 to 1,460 Days (3-4 Yrs)",31,all_persons,2020-11-01,2020-11-30,Q22a1,stayers,31
"1,461 to 1,825 Days (5-5 Yrs)",31,all_persons,2020-11-01,2020-11-30,Q22a1,leavers,0
"1,461 to 1,825 Days (5-5 Yrs)",31,all_persons,2020-11-01,2020-11-30,Q22a1,stayers,31
"More than 1,825 Days (>5 Yrs)",37,all_persons,2020-11-01,2020-11-30,Q22a1,leavers,0
"More than 1,825 Days (>5 Yrs)",37,all_persons,2020-11-01,2020-11-30,Q22a1,stayers,37
Data Not Collected,0,all_persons,2020-11-01,2020-11-30,Q22a1,leavers,0
Data Not Collected,0,all_persons,2020-11-01,2020-11-30,Q22a1,stayers,0
