income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,6,7,13,0.46,0,2,2,0.0,0,0,0,0.0,adults,2020-11-01,2020-11-30,Q19b
Supplemental Security Income (SSI),12,0,12,1.0,0,1,1,0.0,0,0,0,0.0,adults,2020-11-01,2020-11-30,Q19b
Social Security Disability Insurance (SSDI),13,2,15,0.87,0,0,0,0.0,0,0,0,0.0,adults,2020-11-01,2020-11-30,Q19b
VA Service-Connected Disability Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2020-11-01,2020-11-30,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2020-11-01,2020-11-30,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2020-11-01,2020-11-30,Q19b
Temporary Assistance for Needy Families (TANF),0,1,1,0.0,0,0,0,0.0,0,0,0,0.0,adults,2020-11-01,2020-11-30,Q19b
Retirement Income from Social Security,4,0,4,1.0,0,0,0,0.0,0,0,0,0.0,adults,2020-11-01,2020-11-30,Q19b
Pension or retirement income from a former job,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2020-11-01,2020-11-30,Q19b
Child Support,0,2,2,0.0,0,2,2,0.0,0,0,0,0.0,adults,2020-11-01,2020-11-30,Q19b
Other source,2,0,2,1.0,0,1,1,0.0,0,0,0,0.0,adults,2020-11-01,2020-11-30,Q19b
No Sources,23,35,58,0.4,0,6,6,0.0,0,0,0,0.0,adults,2020-11-01,2020-11-30,Q19b
Unduplicated Total Adults,51,45,96,NA,0,11,11,NA,0,0,0,NA,adults,2020-11-01,2020-11-30,Q19b
