income_range,population,start_date,end_date,question,status,count
No Income,adults,2020-11-01,2020-11-30,Q16,income_at_start,386
No Income,adults,2020-11-01,2020-11-30,Q16,income_at_latest_annual_assessment_for_stayers,11
No Income,adults,2020-11-01,2020-11-30,Q16,income_at_exit_for_leavers,75
$1 -  $150,adults,2020-11-01,2020-11-30,Q16,income_at_start,2
$1 -  $150,adults,2020-11-01,2020-11-30,Q16,income_at_latest_annual_assessment_for_stayers,0
$1 -  $150,adults,2020-11-01,2020-11-30,Q16,income_at_exit_for_leavers,0
$151 - $250,adults,2020-11-01,2020-11-30,Q16,income_at_start,7
$151 - $250,adults,2020-11-01,2020-11-30,Q16,income_at_latest_annual_assessment_for_stayers,0
$151 - $250,adults,2020-11-01,2020-11-30,Q16,income_at_exit_for_leavers,2
$251 - $500,adults,2020-11-01,2020-11-30,Q16,income_at_start,21
$251 - $500,adults,2020-11-01,2020-11-30,Q16,income_at_latest_annual_assessment_for_stayers,2
$251 - $500,adults,2020-11-01,2020-11-30,Q16,income_at_exit_for_leavers,2
$501 - $1000,adults,2020-11-01,2020-11-30,Q16,income_at_start,139
$501 - $1000,adults,2020-11-01,2020-11-30,Q16,income_at_latest_annual_assessment_for_stayers,19
$501 - $1000,adults,2020-11-01,2020-11-30,Q16,income_at_exit_for_leavers,20
$1001 - $1500,adults,2020-11-01,2020-11-30,Q16,income_at_start,83
$1001 - $1500,adults,2020-11-01,2020-11-30,Q16,income_at_latest_annual_assessment_for_stayers,13
$1001 - $1500,adults,2020-11-01,2020-11-30,Q16,income_at_exit_for_leavers,7
$1501 - $2000,adults,2020-11-01,2020-11-30,Q16,income_at_start,65
$1501 - $2000,adults,2020-11-01,2020-11-30,Q16,income_at_latest_annual_assessment_for_stayers,6
$1501 - $2000,adults,2020-11-01,2020-11-30,Q16,income_at_exit_for_leavers,6
$2001+,adults,2020-11-01,2020-11-30,Q16,income_at_start,64
$2001+,adults,2020-11-01,2020-11-30,Q16,income_at_latest_annual_assessment_for_stayers,4
$2001+,adults,2020-11-01,2020-11-30,Q16,income_at_exit_for_leavers,5
Client Doesn't Know/Client Refused,adults,2020-11-01,2020-11-30,Q16,income_at_start,2
Client Doesn't Know/Client Refused,adults,2020-11-01,2020-11-30,Q16,income_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,adults,2020-11-01,2020-11-30,Q16,income_at_exit_for_leavers,0
Data Not Collected,adults,2020-11-01,2020-11-30,Q16,income_at_start,168
Data Not Collected,adults,2020-11-01,2020-11-30,Q16,income_at_latest_annual_assessment_for_stayers,6
Data Not Collected,adults,2020-11-01,2020-11-30,Q16,income_at_exit_for_leavers,64
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2020-11-01,2020-11-30,Q16,income_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2020-11-01,2020-11-30,Q16,income_at_latest_annual_assessment_for_stayers,455
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2020-11-01,2020-11-30,Q16,income_at_exit_for_leavers,0
Number of Adult Stayers without Required Annual Assessment,adults,2020-11-01,2020-11-30,Q16,income_at_start,0
Number of Adult Stayers without Required Annual Assessment,adults,2020-11-01,2020-11-30,Q16,income_at_latest_annual_assessment_for_stayers,240
Number of Adult Stayers without Required Annual Assessment,adults,2020-11-01,2020-11-30,Q16,income_at_exit_for_leavers,0
Total Adults,adults,2020-11-01,2020-11-30,Q16,income_at_start,937
Total Adults,adults,2020-11-01,2020-11-30,Q16,income_at_latest_annual_assessment_for_stayers,756
Total Adults,adults,2020-11-01,2020-11-30,Q16,income_at_exit_for_leavers,181
