report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,1205,all_persons,2020-11-01,2020-11-30,Q5a
Number of Adults (age 18 or over),937,all_persons,2020-11-01,2020-11-30,Q5a
Number of Children (under age 18),258,all_persons,2020-11-01,2020-11-30,Q5a
Number of Persons with Unknown Age,10,all_persons,2020-11-01,2020-11-30,Q5a
Number of Leavers,207,all_persons,2020-11-01,2020-11-30,Q5a
Number of Adult Leavers,181,all_persons,2020-11-01,2020-11-30,Q5a
Number of Adult and Head of Household Leavers,181,all_persons,2020-11-01,2020-11-30,Q5a
Number of Stayers,998,all_persons,2020-11-01,2020-11-30,Q5a
Number of Adult Stayers,756,all_persons,2020-11-01,2020-11-30,Q5a
Number of Veterans,53,all_persons,2020-11-01,2020-11-30,Q5a
Number of Chronically Homeless Persons,182,all_persons,2020-11-01,2020-11-30,Q5a
Number of Youth Under Age 25,67,all_persons,2020-11-01,2020-11-30,Q5a
Number of Parenting Youth Under Age 25 with Children,13,all_persons,2020-11-01,2020-11-30,Q5a
Number of Adult Heads of Household,776,all_persons,2020-11-01,2020-11-30,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2020-11-01,2020-11-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,301,all_persons,2020-11-01,2020-11-30,Q5a
