dv_fleeing,total,population,start_date,end_date,question,household_type,count
Yes,36,all_persons,2020-11-01,2020-11-30,Q14b,without_children,31
Yes,36,all_persons,2020-11-01,2020-11-30,Q14b,with_children_and_adults,5
Yes,36,all_persons,2020-11-01,2020-11-30,Q14b,with_only_children,0
Yes,36,all_persons,2020-11-01,2020-11-30,Q14b,unknown_household_type,0
No,211,all_persons,2020-11-01,2020-11-30,Q14b,without_children,169
No,211,all_persons,2020-11-01,2020-11-30,Q14b,with_children_and_adults,42
No,211,all_persons,2020-11-01,2020-11-30,Q14b,with_only_children,0
No,211,all_persons,2020-11-01,2020-11-30,Q14b,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_persons,2020-11-01,2020-11-30,Q14b,without_children,1
Client Doesn't Know/Client Refused,1,all_persons,2020-11-01,2020-11-30,Q14b,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_persons,2020-11-01,2020-11-30,Q14b,with_only_children,0
Client Doesn't Know/Client Refused,1,all_persons,2020-11-01,2020-11-30,Q14b,unknown_household_type,0
Data Not Collected,11,all_persons,2020-11-01,2020-11-30,Q14b,without_children,10
Data Not Collected,11,all_persons,2020-11-01,2020-11-30,Q14b,with_children_and_adults,1
Data Not Collected,11,all_persons,2020-11-01,2020-11-30,Q14b,with_only_children,0
Data Not Collected,11,all_persons,2020-11-01,2020-11-30,Q14b,unknown_household_type,0
