"""Total Number of Persons Served""",1425
"""Number of Adults (age 18 or over)""",1093
"""Number of Children (under age 18)""",322
"""Number of Persons with Unknown Age""",10
"""Number of Leavers""",286
"""Number of Adult Leavers""",212
"""Number of Adult and Head of Household Leavers""",219
"""Number of Stayers""",1139
"""Number of Adult Stayers""",881
"""Number of Veterans""",76
"""Number of Chronically Homeless Persons""",175
"""Number of Youth Under Age 25""",83
"""Number of Parenting Youth Under Age 25 with Children""",12
"""Number of Adult Heads of Household""",886
"""Number of Child and Unknown-Age Heads of Household""",8
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",423
