, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",224,7,38
"""Unemployment Insurance""",6,0,2
"""Supplemental Security Income (SSI)""",126,21,20
"""Social Security Disability Insurance (SSDI)""",94,14,14
"""VA Service - Connected Disability Compensation""",8,2,0
"""VA Non-Service Connected Disability Pension""",4,4,0
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",15,1,1
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",18,3,2
"""Pension or retirement income from a former job""",8,1,1
"""Child Support""",10,0,1
"""Alimony and other spousal support""",0,0,0
"""Other Source""",8,1,1
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,58,0
