, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Permanent Destinations""",,,,,
"""Moved from one HOPWA funded project to HOPWA PH""",0,0,0,0,0
"""Owned by client, no ongoing subsidy""",0,0,0,0,0
"""Owned by client, with ongoing subsidy""",0,0,0,0,0
"""Rental by client, no ongoing subsidy""",83,26,57,0,0
"""Rental by client, with VASH subsidy""",0,0,0,0,0
"""Rental by client, with GPD TIP subsidy""",0,0,0,0,0
"""Rental by client, other ongoing subsidy""",6,3,3,0,0
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Staying or living with family, permanent tenure""",8,8,0,0,0
"""Staying or living with friends, permanent tenure""",9,9,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",9,1,8,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Subtotal""",115,47,68,0,0
"""Temporary Destinations""",,,,,
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",28,18,10,0,0
"""Moved from one HOPWA funded project to HOPWA TH""",0,0,0,0,0
"""Transitional housing for homeless persons (including homeless youth)""",0,0,0,0,0
"""Staying or living with family, temporary tenure""",37,8,29,0,0
"""Staying or living with friends, temporary tenure""",10,7,3,0,0
"""Place not meant for human habitation""",34,32,2,0,0
"""Safe Haven""",0,0,0,0,0
"""Hotel or motel, paid by client""",34,25,9,0,0
"""Host Home (non-crisis) """,0,0,0,0,0
"""Subtotal""",143,90,53,0,0
"""Institutional Settings""",,,,,
"""Foster care home or group foster care home""",0,0,0,0,0
"""Psychiatric hospital or other psychiatric facility""",0,0,0,0,0
"""Substance abuse treatment facility or detox center""",3,3,0,0,0
"""Hospital  or other residential non-psychiatric medical facility""",3,3,0,0,0
"""Jail, prison, or juvenile detention facility""",4,4,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Subtotal""",10,10,0,0,0
"""Other Destinations""",,,,,
"""Residential project or halfway house with no homeless criteria""",1,1,0,0,0
"""Deceased""",1,1,0,0,0
"""Other""",6,6,0,0,0
"""Client Doesn't Know/Client Refused""",3,3,0,0,0
"""Data Not Collected (no exit interview completed)""",7,7,0,0,0
"""Subtotal""",18,18,0,0,0
"""Total""",286,165,121,0,0
"""Total persons exiting to positive housing destinations""",21,19,2,0,0
"""Total persons whose destinations excluded them from the calculation""",1,1,0,0,0
"""Percentage""",0.07,0.12,0.02,0.0,0.0
