"""Number of Youth by Income Category""", "Number of Youth at Start" , "Number of Youth at Annual Assessment (Stayers)" , "Number of Youth at Exit (Leavers)"
"""Youth with Only Earned Income (ie.e, Employment Income)""",12,0,2
"""Youth with Only Other Income""",3,0,0
"""Youth with Both Earned and Other Income""",1,0,0
"""Youth with No Income""",64,0,13
"""Youth with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Youth with Missing Income Information""",3,0,0
"""Number of Youth Stayers not yet Required to Have an Annual Assessment""",0,43,0
"""Number of Youth Stayers without Required Annual Assessment""",0,25,0
"""Total Youth""",83,68,15
"""1 or More Source of Income""",19,0,2
"""Youth with Income Information at Start and Annual Assessment/Exit""",0,0,0
