health_insurance,population,start_date,end_date,question,status,count
MEDICAID,all_persons,2021-10-01,2021-10-31,Q21,at_start,690
MEDICAID,all_persons,2021-10-01,2021-10-31,Q21,at_annual_assessment_for_stayers,42
MEDICAID,all_persons,2021-10-01,2021-10-31,Q21,at_exit_for_leavers,105
MEDICARE,all_persons,2021-10-01,2021-10-31,Q21,at_start,112
MEDICARE,all_persons,2021-10-01,2021-10-31,Q21,at_annual_assessment_for_stayers,14
MEDICARE,all_persons,2021-10-01,2021-10-31,Q21,at_exit_for_leavers,10
State Children's Health Insurance Program,all_persons,2021-10-01,2021-10-31,Q21,at_start,5
State Children's Health Insurance Program,all_persons,2021-10-01,2021-10-31,Q21,at_annual_assessment_for_stayers,0
State Children's Health Insurance Program,all_persons,2021-10-01,2021-10-31,Q21,at_exit_for_leavers,0
Veteran's Administration (VA) Medical Services,all_persons,2021-10-01,2021-10-31,Q21,at_start,22
Veteran's Administration (VA) Medical Services,all_persons,2021-10-01,2021-10-31,Q21,at_annual_assessment_for_stayers,11
Veteran's Administration (VA) Medical Services,all_persons,2021-10-01,2021-10-31,Q21,at_exit_for_leavers,3
Employer - Provided Health Insurance,all_persons,2021-10-01,2021-10-31,Q21,at_start,32
Employer - Provided Health Insurance,all_persons,2021-10-01,2021-10-31,Q21,at_annual_assessment_for_stayers,1
Employer - Provided Health Insurance,all_persons,2021-10-01,2021-10-31,Q21,at_exit_for_leavers,3
Health Insurance obtained through COBRA,all_persons,2021-10-01,2021-10-31,Q21,at_start,2
Health Insurance obtained through COBRA,all_persons,2021-10-01,2021-10-31,Q21,at_annual_assessment_for_stayers,0
Health Insurance obtained through COBRA,all_persons,2021-10-01,2021-10-31,Q21,at_exit_for_leavers,0
Private Pay Health Insurance,all_persons,2021-10-01,2021-10-31,Q21,at_start,40
Private Pay Health Insurance,all_persons,2021-10-01,2021-10-31,Q21,at_annual_assessment_for_stayers,1
Private Pay Health Insurance,all_persons,2021-10-01,2021-10-31,Q21,at_exit_for_leavers,0
State Health Insurance for Adults,all_persons,2021-10-01,2021-10-31,Q21,at_start,7
State Health Insurance for Adults,all_persons,2021-10-01,2021-10-31,Q21,at_annual_assessment_for_stayers,0
State Health Insurance for Adults,all_persons,2021-10-01,2021-10-31,Q21,at_exit_for_leavers,1
Indian Health Services Program,all_persons,2021-10-01,2021-10-31,Q21,at_start,2
Indian Health Services Program,all_persons,2021-10-01,2021-10-31,Q21,at_annual_assessment_for_stayers,0
Indian Health Services Program,all_persons,2021-10-01,2021-10-31,Q21,at_exit_for_leavers,0
Other,all_persons,2021-10-01,2021-10-31,Q21,at_start,7
Other,all_persons,2021-10-01,2021-10-31,Q21,at_annual_assessment_for_stayers,0
Other,all_persons,2021-10-01,2021-10-31,Q21,at_exit_for_leavers,0
No Health Insurance,all_persons,2021-10-01,2021-10-31,Q21,at_start,398
No Health Insurance,all_persons,2021-10-01,2021-10-31,Q21,at_annual_assessment_for_stayers,12
No Health Insurance,all_persons,2021-10-01,2021-10-31,Q21,at_exit_for_leavers,60
Client Doesn't Know/Client Refused,all_persons,2021-10-01,2021-10-31,Q21,at_start,8
Client Doesn't Know/Client Refused,all_persons,2021-10-01,2021-10-31,Q21,at_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2021-10-01,2021-10-31,Q21,at_exit_for_leavers,1
Data Not Collected,all_persons,2021-10-01,2021-10-31,Q21,at_start,139
Data Not Collected,all_persons,2021-10-01,2021-10-31,Q21,at_annual_assessment_for_stayers,527
Data Not Collected,all_persons,2021-10-01,2021-10-31,Q21,at_exit_for_leavers,29
Number of Stayers not yet Required To Have an Annual Assessment,all_persons,2021-10-01,2021-10-31,Q21,at_start,0
Number of Stayers not yet Required To Have an Annual Assessment,all_persons,2021-10-01,2021-10-31,Q21,at_annual_assessment_for_stayers,601
Number of Stayers not yet Required To Have an Annual Assessment,all_persons,2021-10-01,2021-10-31,Q21,at_exit_for_leavers,0
1 Source of Health Insurance,all_persons,2021-10-01,2021-10-31,Q21,at_start,711
1 Source of Health Insurance,all_persons,2021-10-01,2021-10-31,Q21,at_annual_assessment_for_stayers,45
1 Source of Health Insurance,all_persons,2021-10-01,2021-10-31,Q21,at_exit_for_leavers,104
More than 1 Source of Health Insurance,all_persons,2021-10-01,2021-10-31,Q21,at_start,101
More than 1 Source of Health Insurance,all_persons,2021-10-01,2021-10-31,Q21,at_annual_assessment_for_stayers,12
More than 1 Source of Health Insurance,all_persons,2021-10-01,2021-10-31,Q21,at_exit_for_leavers,9
