length,total,population,start_date,end_date,question,status,count
30 days or less,415,all_persons,2021-10-01,2021-10-31,Q22a1,leavers,224
30 days or less,415,all_persons,2021-10-01,2021-10-31,Q22a1,stayers,191
31 to 60 days,119,all_persons,2021-10-01,2021-10-31,Q22a1,leavers,18
31 to 60 days,119,all_persons,2021-10-01,2021-10-31,Q22a1,stayers,101
61 to 90 days,108,all_persons,2021-10-01,2021-10-31,Q22a1,leavers,8
61 to 90 days,108,all_persons,2021-10-01,2021-10-31,Q22a1,stayers,100
91 to 180 days,161,all_persons,2021-10-01,2021-10-31,Q22a1,leavers,19
91 to 180 days,161,all_persons,2021-10-01,2021-10-31,Q22a1,stayers,142
181 to 365 days,70,all_persons,2021-10-01,2021-10-31,Q22a1,leavers,3
181 to 365 days,70,all_persons,2021-10-01,2021-10-31,Q22a1,stayers,67
366 to 730 Days (1-2 Yrs),201,all_persons,2021-10-01,2021-10-31,Q22a1,leavers,3
366 to 730 Days (1-2 Yrs),201,all_persons,2021-10-01,2021-10-31,Q22a1,stayers,198
"731 to 1,095 Days (2-3 Yrs)",230,all_persons,2021-10-01,2021-10-31,Q22a1,leavers,0
"731 to 1,095 Days (2-3 Yrs)",230,all_persons,2021-10-01,2021-10-31,Q22a1,stayers,230
"1,096 to 1,460 Days (3-4 Yrs)",81,all_persons,2021-10-01,2021-10-31,Q22a1,leavers,0
"1,096 to 1,460 Days (3-4 Yrs)",81,all_persons,2021-10-01,2021-10-31,Q22a1,stayers,81
"1,461 to 1,825 Days (5-5 Yrs)",24,all_persons,2021-10-01,2021-10-31,Q22a1,leavers,0
"1,461 to 1,825 Days (5-5 Yrs)",24,all_persons,2021-10-01,2021-10-31,Q22a1,stayers,24
"More than 1,825 Days (>5 Yrs)",63,all_persons,2021-10-01,2021-10-31,Q22a1,leavers,0
"More than 1,825 Days (>5 Yrs)",63,all_persons,2021-10-01,2021-10-31,Q22a1,stayers,63
Data Not Collected,0,all_persons,2021-10-01,2021-10-31,Q22a1,leavers,0
Data Not Collected,0,all_persons,2021-10-01,2021-10-31,Q22a1,stayers,0
