non_cash_benefits,population,start_date,end_date,question,status,count
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),all_persons,2021-10-01,2021-10-31,Q20a,benefit_at_start,349
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),all_persons,2021-10-01,2021-10-31,Q20a,benefit_at_latest_annual_assessment_for_stayers,33
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),all_persons,2021-10-01,2021-10-31,Q20a,benefit_at_exit_for_leavers,63
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",all_persons,2021-10-01,2021-10-31,Q20a,benefit_at_start,16
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",all_persons,2021-10-01,2021-10-31,Q20a,benefit_at_latest_annual_assessment_for_stayers,2
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",all_persons,2021-10-01,2021-10-31,Q20a,benefit_at_exit_for_leavers,2
TANF Child Care Services,all_persons,2021-10-01,2021-10-31,Q20a,benefit_at_start,2
TANF Child Care Services,all_persons,2021-10-01,2021-10-31,Q20a,benefit_at_latest_annual_assessment_for_stayers,0
TANF Child Care Services,all_persons,2021-10-01,2021-10-31,Q20a,benefit_at_exit_for_leavers,0
TANF Transportation Services,all_persons,2021-10-01,2021-10-31,Q20a,benefit_at_start,0
TANF Transportation Services,all_persons,2021-10-01,2021-10-31,Q20a,benefit_at_latest_annual_assessment_for_stayers,0
TANF Transportation Services,all_persons,2021-10-01,2021-10-31,Q20a,benefit_at_exit_for_leavers,0
Other TANF-Funded Services,all_persons,2021-10-01,2021-10-31,Q20a,benefit_at_start,5
Other TANF-Funded Services,all_persons,2021-10-01,2021-10-31,Q20a,benefit_at_latest_annual_assessment_for_stayers,0
Other TANF-Funded Services,all_persons,2021-10-01,2021-10-31,Q20a,benefit_at_exit_for_leavers,1
Other Source,all_persons,2021-10-01,2021-10-31,Q20a,benefit_at_start,10
Other Source,all_persons,2021-10-01,2021-10-31,Q20a,benefit_at_latest_annual_assessment_for_stayers,8
Other Source,all_persons,2021-10-01,2021-10-31,Q20a,benefit_at_exit_for_leavers,2
