pit_month,total,population,start_date,end_date,question,household_type,count
January,0,all_persons,2021-10-01,2021-10-31,Q7b,without_children,0
January,0,all_persons,2021-10-01,2021-10-31,Q7b,with_children_and_adults,0
January,0,all_persons,2021-10-01,2021-10-31,Q7b,with_only_children,0
January,0,all_persons,2021-10-01,2021-10-31,Q7b,unknown_household_type,0
April,0,all_persons,2021-10-01,2021-10-31,Q7b,without_children,0
April,0,all_persons,2021-10-01,2021-10-31,Q7b,with_children_and_adults,0
April,0,all_persons,2021-10-01,2021-10-31,Q7b,with_only_children,0
April,0,all_persons,2021-10-01,2021-10-31,Q7b,unknown_household_type,0
July,0,all_persons,2021-10-01,2021-10-31,Q7b,without_children,0
July,0,all_persons,2021-10-01,2021-10-31,Q7b,with_children_and_adults,0
July,0,all_persons,2021-10-01,2021-10-31,Q7b,with_only_children,0
July,0,all_persons,2021-10-01,2021-10-31,Q7b,unknown_household_type,0
October,1185,all_persons,2021-10-01,2021-10-31,Q7b,without_children,743
October,1185,all_persons,2021-10-01,2021-10-31,Q7b,with_children_and_adults,401
October,1185,all_persons,2021-10-01,2021-10-31,Q7b,with_only_children,25
October,1185,all_persons,2021-10-01,2021-10-31,Q7b,unknown_household_type,16
