count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,719,157,232,start,2021-10-01,2021-10-31,Q13a2,without_children,302
None,719,157,232,start,2021-10-01,2021-10-31,Q13a2,with_only_children,18
None,719,157,232,start,2021-10-01,2021-10-31,Q13a2,unknown_household_type,10
1 Condition,299,22,8,start,2021-10-01,2021-10-31,Q13a2,without_children,267
1 Condition,299,22,8,start,2021-10-01,2021-10-31,Q13a2,with_only_children,1
1 Condition,299,22,8,start,2021-10-01,2021-10-31,Q13a2,unknown_household_type,1
2 Conditions,135,5,1,start,2021-10-01,2021-10-31,Q13a2,without_children,129
2 Conditions,135,5,1,start,2021-10-01,2021-10-31,Q13a2,with_only_children,0
2 Conditions,135,5,1,start,2021-10-01,2021-10-31,Q13a2,unknown_household_type,0
3+ Conditions,110,1,0,start,2021-10-01,2021-10-31,Q13a2,without_children,109
3+ Conditions,110,1,0,start,2021-10-01,2021-10-31,Q13a2,with_only_children,0
3+ Conditions,110,1,0,start,2021-10-01,2021-10-31,Q13a2,unknown_household_type,0
Condition Unknown,97,8,0,start,2021-10-01,2021-10-31,Q13a2,without_children,88
Condition Unknown,97,8,0,start,2021-10-01,2021-10-31,Q13a2,with_only_children,1
Condition Unknown,97,8,0,start,2021-10-01,2021-10-31,Q13a2,unknown_household_type,0
Client Doesn't Know/Client Refused,3,0,0,start,2021-10-01,2021-10-31,Q13a2,without_children,3
Client Doesn't Know/Client Refused,3,0,0,start,2021-10-01,2021-10-31,Q13a2,with_only_children,0
Client Doesn't Know/Client Refused,3,0,0,start,2021-10-01,2021-10-31,Q13a2,unknown_household_type,0
Data Not Collected,109,14,52,start,2021-10-01,2021-10-31,Q13a2,without_children,31
Data Not Collected,109,14,52,start,2021-10-01,2021-10-31,Q13a2,with_only_children,6
Data Not Collected,109,14,52,start,2021-10-01,2021-10-31,Q13a2,unknown_household_type,6
