, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",243,8,29
"""Unemployment Insurance""",5,0,1
"""Supplemental Security Income (SSI)""",125,21,11
"""Social Security Disability Insurance (SSDI)""",100,14,15
"""VA Service - Connected Disability Compensation""",7,2,1
"""VA Non-Service Connected Disability Pension""",5,4,1
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",17,1,1
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",18,3,0
"""Pension or retirement income from a former job""",7,1,0
"""Child Support""",11,0,1
"""Alimony and other spousal support""",0,0,1
"""Other Source""",6,1,1
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,60,0
