"""Total Number of Persons Served""",1551
"""Number of Adults (age 18 or over)""",1203
"""Number of Children (under age 18)""",337
"""Number of Persons with Unknown Age""",11
"""Number of Leavers""",202
"""Number of Adult Leavers""",170
"""Number of Adult and Head of Household Leavers""",171
"""Number of Stayers""",1349
"""Number of Adult Stayers""",1033
"""Number of Veterans""",74
"""Number of Chronically Homeless Persons""",197
"""Number of Youth Under Age 25""",93
"""Number of Parenting Youth Under Age 25 with Children""",13
"""Number of Adult Heads of Household""",983
"""Number of Child and Unknown-Age Heads of Household""",2
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",443
