, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",157,127,30,0,0
"""Transitional housing for homeless persons (including homeless youth)""",3,3,0,0,0
"""Place not meant for human habitation""",283,261,22,0,0
"""Safe Haven""",7,6,1,0,0
"""Host Home""",1,1,0,0,0
"""Subtotal""",451,398,53,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",11,11,0,0,0
"""Substance abuse treatment facility or detox center""",14,14,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",33,33,0,0,0
"""Jail, prison or juvenile detention facility""",37,37,0,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",1,1,0,0,0
"""Subtotal""",96,96,0,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",3,3,0,0,0
"""Owned by client, no ongoing housing subsidy""",10,10,0,0,0
"""Owned by client, with ongoing housing subsidy""",3,3,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",3,2,1,0,0
"""Rental by client in a public housing unit""",1,1,0,0,0
"""Rental by client, no ongoing housing subsidy""",202,141,58,0,3
"""Rental by client, with VASH housing subsidy""",1,0,1,0,0
"""Rental by client, with GPD TIP housing subsidy""",1,1,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",11,7,4,0,0
"""Hotel or motel paid for without emergency shelter voucher""",144,108,35,0,1
"""Staying or living in a friend''s room, apartment or house""",105,91,14,0,0
"""Staying or living in a family member''s room, apartment or house""",121,81,40,0,0
"""Client Doesn''t Know/Client Refused""",13,13,0,0,0
"""Data not collected""",40,23,16,0,1
"""Subtotal""",658,484,169,0,5
"""Total""",1205,978,222,0,5
