conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
Mental Health Disorder,81,11,4,all_persons,2015-06-01,2015-06-30,Q13c1,without_children,66
Mental Health Disorder,81,11,4,all_persons,2015-06-01,2015-06-30,Q13c1,with_only_children,0
Mental Health Disorder,81,11,4,all_persons,2015-06-01,2015-06-30,Q13c1,unknown_household_type,0
Alcohol Use Disorder,13,0,0,all_persons,2015-06-01,2015-06-30,Q13c1,without_children,13
Alcohol Use Disorder,13,0,0,all_persons,2015-06-01,2015-06-30,Q13c1,with_only_children,0
Alcohol Use Disorder,13,0,0,all_persons,2015-06-01,2015-06-30,Q13c1,unknown_household_type,0
Drug Use Disorder,4,2,0,all_persons,2015-06-01,2015-06-30,Q13c1,without_children,2
Drug Use Disorder,4,2,0,all_persons,2015-06-01,2015-06-30,Q13c1,with_only_children,0
Drug Use Disorder,4,2,0,all_persons,2015-06-01,2015-06-30,Q13c1,unknown_household_type,0
Both Alcohol and Drug Use Disorders,14,0,0,all_persons,2015-06-01,2015-06-30,Q13c1,without_children,14
Both Alcohol and Drug Use Disorders,14,0,0,all_persons,2015-06-01,2015-06-30,Q13c1,with_only_children,0
Both Alcohol and Drug Use Disorders,14,0,0,all_persons,2015-06-01,2015-06-30,Q13c1,unknown_household_type,0
Chronic Health Condition,31,5,2,all_persons,2015-06-01,2015-06-30,Q13c1,without_children,24
Chronic Health Condition,31,5,2,all_persons,2015-06-01,2015-06-30,Q13c1,with_only_children,0
Chronic Health Condition,31,5,2,all_persons,2015-06-01,2015-06-30,Q13c1,unknown_household_type,0
HIV/AIDS,72,1,0,all_persons,2015-06-01,2015-06-30,Q13c1,without_children,71
HIV/AIDS,72,1,0,all_persons,2015-06-01,2015-06-30,Q13c1,with_only_children,0
HIV/AIDS,72,1,0,all_persons,2015-06-01,2015-06-30,Q13c1,unknown_household_type,0
Development Disability,14,4,7,all_persons,2015-06-01,2015-06-30,Q13c1,without_children,3
Development Disability,14,4,7,all_persons,2015-06-01,2015-06-30,Q13c1,with_only_children,0
Development Disability,14,4,7,all_persons,2015-06-01,2015-06-30,Q13c1,unknown_household_type,0
Physical Disability,38,3,4,all_persons,2015-06-01,2015-06-30,Q13c1,without_children,31
Physical Disability,38,3,4,all_persons,2015-06-01,2015-06-30,Q13c1,with_only_children,0
Physical Disability,38,3,4,all_persons,2015-06-01,2015-06-30,Q13c1,unknown_household_type,0
