dv_history,total,population,start_date,end_date,question,household_type,count
Yes,39,all_persons,2015-06-01,2015-06-30,Q14a,without_children,21
Yes,39,all_persons,2015-06-01,2015-06-30,Q14a,with_children_and_adults,18
Yes,39,all_persons,2015-06-01,2015-06-30,Q14a,with_only_children,0
Yes,39,all_persons,2015-06-01,2015-06-30,Q14a,unknown_household_type,0
No,327,all_persons,2015-06-01,2015-06-30,Q14a,without_children,238
No,327,all_persons,2015-06-01,2015-06-30,Q14a,with_children_and_adults,89
No,327,all_persons,2015-06-01,2015-06-30,Q14a,with_only_children,0
No,327,all_persons,2015-06-01,2015-06-30,Q14a,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_persons,2015-06-01,2015-06-30,Q14a,without_children,1
Client Doesn't Know/Client Refused,1,all_persons,2015-06-01,2015-06-30,Q14a,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_persons,2015-06-01,2015-06-30,Q14a,with_only_children,0
Client Doesn't Know/Client Refused,1,all_persons,2015-06-01,2015-06-30,Q14a,unknown_household_type,0
Data Not Collected,15,all_persons,2015-06-01,2015-06-30,Q14a,without_children,14
Data Not Collected,15,all_persons,2015-06-01,2015-06-30,Q14a,with_children_and_adults,0
Data Not Collected,15,all_persons,2015-06-01,2015-06-30,Q14a,with_only_children,0
Data Not Collected,15,all_persons,2015-06-01,2015-06-30,Q14a,unknown_household_type,1
