report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,535,all_persons,2015-06-01,2015-06-30,Q5a
Number of Adults (age 18 or over),381,all_persons,2015-06-01,2015-06-30,Q5a
Number of Children (under age 18),153,all_persons,2015-06-01,2015-06-30,Q5a
Number of Persons with Unknown Age,1,all_persons,2015-06-01,2015-06-30,Q5a
Number of Leavers,169,all_persons,2015-06-01,2015-06-30,Q5a
Number of Adult Leavers,118,all_persons,2015-06-01,2015-06-30,Q5a
Number of Adult and Head of Household Leavers,118,all_persons,2015-06-01,2015-06-30,Q5a
Number of Stayers,366,all_persons,2015-06-01,2015-06-30,Q5a
Number of Adult Stayers,263,all_persons,2015-06-01,2015-06-30,Q5a
Number of Veterans,10,all_persons,2015-06-01,2015-06-30,Q5a
Number of Chronically Homeless Persons,17,all_persons,2015-06-01,2015-06-30,Q5a
Number of Youth Under Age 25,31,all_persons,2015-06-01,2015-06-30,Q5a
Number of Parenting Youth Under Age 25 with Children,12,all_persons,2015-06-01,2015-06-30,Q5a
Number of Adult Heads of Household,303,all_persons,2015-06-01,2015-06-30,Q5a
Number of Child and Unknown-Age Heads of Household,1,all_persons,2015-06-01,2015-06-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,101,all_persons,2015-06-01,2015-06-30,Q5a
