income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,6,20,26,0.23,4,15,19,0.21,0,0,0,0.0,adults,2015-06-01,2015-06-30,Q19b
Supplemental Security Income (SSI),12,1,13,0.92,0,0,0,0.0,0,0,0,0.0,adults,2015-06-01,2015-06-30,Q19b
Social Security Disability Insurance (SSDI),13,4,17,0.76,1,2,3,0.33,0,0,0,0.0,adults,2015-06-01,2015-06-30,Q19b
VA Service-Connected Disability Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2015-06-01,2015-06-30,Q19b
Private Disability Insurance,0,0,0,0.0,1,0,1,1.0,0,0,0,0.0,adults,2015-06-01,2015-06-30,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2015-06-01,2015-06-30,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2015-06-01,2015-06-30,Q19b
Retirement Income from Social Security,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2015-06-01,2015-06-30,Q19b
Pension or retirement income from a former job,0,1,1,0.0,0,0,0,0.0,0,0,0,0.0,adults,2015-06-01,2015-06-30,Q19b
Child Support,0,1,1,0.0,0,2,2,0.0,0,0,0,0.0,adults,2015-06-01,2015-06-30,Q19b
Other source,1,0,1,1.0,2,0,2,1.0,0,0,0,0.0,adults,2015-06-01,2015-06-30,Q19b
No Sources,9,14,23,0.39,6,11,17,0.35,0,0,0,0.0,adults,2015-06-01,2015-06-30,Q19b
Unduplicated Total Adults,35,39,74,NA,12,28,40,NA,0,0,0,NA,adults,2015-06-01,2015-06-30,Q19b
