number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2015-06-01,2015-06-30,Q18,number_of_adults_at_start,103
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2015-06-01,2015-06-30,Q18,number_of_adults_at_annual_assessment_stayers,1
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2015-06-01,2015-06-30,Q18,number_of_adults_at_exit_leavers,38
Adults with Only Other Income,all_persons,2015-06-01,2015-06-30,Q18,number_of_adults_at_start,90
Adults with Only Other Income,all_persons,2015-06-01,2015-06-30,Q18,number_of_adults_at_annual_assessment_stayers,15
Adults with Only Other Income,all_persons,2015-06-01,2015-06-30,Q18,number_of_adults_at_exit_leavers,30
Adults with Both Earned and Other Income,all_persons,2015-06-01,2015-06-30,Q18,number_of_adults_at_start,13
Adults with Both Earned and Other Income,all_persons,2015-06-01,2015-06-30,Q18,number_of_adults_at_annual_assessment_stayers,1
Adults with Both Earned and Other Income,all_persons,2015-06-01,2015-06-30,Q18,number_of_adults_at_exit_leavers,5
Adults with No Income,all_persons,2015-06-01,2015-06-30,Q18,number_of_adults_at_start,168
Adults with No Income,all_persons,2015-06-01,2015-06-30,Q18,number_of_adults_at_annual_assessment_stayers,2
Adults with No Income,all_persons,2015-06-01,2015-06-30,Q18,number_of_adults_at_exit_leavers,45
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2015-06-01,2015-06-30,Q18,number_of_adults_at_start,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2015-06-01,2015-06-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2015-06-01,2015-06-30,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2015-06-01,2015-06-30,Q18,number_of_adults_at_start,6
Adults with Missing Income Information,all_persons,2015-06-01,2015-06-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2015-06-01,2015-06-30,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2015-06-01,2015-06-30,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2015-06-01,2015-06-30,Q18,number_of_adults_at_annual_assessment_stayers,162
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2015-06-01,2015-06-30,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2015-06-01,2015-06-30,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2015-06-01,2015-06-30,Q18,number_of_adults_at_annual_assessment_stayers,82
Number of Adult Stayers without Required Annual Assessment,all_persons,2015-06-01,2015-06-30,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2015-06-01,2015-06-30,Q18,number_of_adults_at_start,381
Total Adults,all_persons,2015-06-01,2015-06-30,Q18,number_of_adults_at_annual_assessment_stayers,263
Total Adults,all_persons,2015-06-01,2015-06-30,Q18,number_of_adults_at_exit_leavers,118
1 or More Source of Income,all_persons,2015-06-01,2015-06-30,Q18,number_of_adults_at_start,228
1 or More Source of Income,all_persons,2015-06-01,2015-06-30,Q18,number_of_adults_at_annual_assessment_stayers,17
1 or More Source of Income,all_persons,2015-06-01,2015-06-30,Q18,number_of_adults_at_exit_leavers,79
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2015-06-01,2015-06-30,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2015-06-01,2015-06-30,Q18,number_of_adults_at_annual_assessment_stayers,19
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2015-06-01,2015-06-30,Q18,number_of_adults_at_exit_leavers,0
