time_prior_to_housing,total,population,start_date,end_date,question,household_type,count
7 days or less,23,all_persons,2015-06-01,2015-06-30,Q22e,without_children,18
7 days or less,23,all_persons,2015-06-01,2015-06-30,Q22e,with_children_and_adults,5
7 days or less,23,all_persons,2015-06-01,2015-06-30,Q22e,with_only_children,0
7 days or less,23,all_persons,2015-06-01,2015-06-30,Q22e,unknown_household_type,0
8 to 14 days,4,all_persons,2015-06-01,2015-06-30,Q22e,without_children,4
8 to 14 days,4,all_persons,2015-06-01,2015-06-30,Q22e,with_children_and_adults,0
8 to 14 days,4,all_persons,2015-06-01,2015-06-30,Q22e,with_only_children,0
8 to 14 days,4,all_persons,2015-06-01,2015-06-30,Q22e,unknown_household_type,0
15 to 21 days,1,all_persons,2015-06-01,2015-06-30,Q22e,without_children,1
15 to 21 days,1,all_persons,2015-06-01,2015-06-30,Q22e,with_children_and_adults,0
15 to 21 days,1,all_persons,2015-06-01,2015-06-30,Q22e,with_only_children,0
15 to 21 days,1,all_persons,2015-06-01,2015-06-30,Q22e,unknown_household_type,0
22 to 30 days,8,all_persons,2015-06-01,2015-06-30,Q22e,without_children,3
22 to 30 days,8,all_persons,2015-06-01,2015-06-30,Q22e,with_children_and_adults,5
22 to 30 days,8,all_persons,2015-06-01,2015-06-30,Q22e,with_only_children,0
22 to 30 days,8,all_persons,2015-06-01,2015-06-30,Q22e,unknown_household_type,0
31 to 60 days,17,all_persons,2015-06-01,2015-06-30,Q22e,without_children,9
31 to 60 days,17,all_persons,2015-06-01,2015-06-30,Q22e,with_children_and_adults,8
31 to 60 days,17,all_persons,2015-06-01,2015-06-30,Q22e,with_only_children,0
31 to 60 days,17,all_persons,2015-06-01,2015-06-30,Q22e,unknown_household_type,0
61 to 180 days,44,all_persons,2015-06-01,2015-06-30,Q22e,without_children,22
61 to 180 days,44,all_persons,2015-06-01,2015-06-30,Q22e,with_children_and_adults,22
61 to 180 days,44,all_persons,2015-06-01,2015-06-30,Q22e,with_only_children,0
61 to 180 days,44,all_persons,2015-06-01,2015-06-30,Q22e,unknown_household_type,0
181 to 365 days,21,all_persons,2015-06-01,2015-06-30,Q22e,without_children,14
181 to 365 days,21,all_persons,2015-06-01,2015-06-30,Q22e,with_children_and_adults,7
181 to 365 days,21,all_persons,2015-06-01,2015-06-30,Q22e,with_only_children,0
181 to 365 days,21,all_persons,2015-06-01,2015-06-30,Q22e,unknown_household_type,0
366-730 days (1-2 years),15,all_persons,2015-06-01,2015-06-30,Q22e,without_children,15
366-730 days (1-2 years),15,all_persons,2015-06-01,2015-06-30,Q22e,with_children_and_adults,0
366-730 days (1-2 years),15,all_persons,2015-06-01,2015-06-30,Q22e,with_only_children,0
366-730 days (1-2 years),15,all_persons,2015-06-01,2015-06-30,Q22e,unknown_household_type,0
731 days or more,7,all_persons,2015-06-01,2015-06-30,Q22e,without_children,7
731 days or more,7,all_persons,2015-06-01,2015-06-30,Q22e,with_children_and_adults,0
731 days or more,7,all_persons,2015-06-01,2015-06-30,Q22e,with_only_children,0
731 days or more,7,all_persons,2015-06-01,2015-06-30,Q22e,unknown_household_type,0
Total (persons moved into housing),140,all_persons,2015-06-01,2015-06-30,Q22e,without_children,93
Total (persons moved into housing),140,all_persons,2015-06-01,2015-06-30,Q22e,with_children_and_adults,47
Total (persons moved into housing),140,all_persons,2015-06-01,2015-06-30,Q22e,with_only_children,0
Total (persons moved into housing),140,all_persons,2015-06-01,2015-06-30,Q22e,unknown_household_type,0
Not yet moved into housing,30,all_persons,2015-06-01,2015-06-30,Q22e,without_children,6
Not yet moved into housing,30,all_persons,2015-06-01,2015-06-30,Q22e,with_children_and_adults,24
Not yet moved into housing,30,all_persons,2015-06-01,2015-06-30,Q22e,with_only_children,0
Not yet moved into housing,30,all_persons,2015-06-01,2015-06-30,Q22e,unknown_household_type,0
Data not collected,103,all_persons,2015-06-01,2015-06-30,Q22e,without_children,56
Data not collected,103,all_persons,2015-06-01,2015-06-30,Q22e,with_children_and_adults,47
Data not collected,103,all_persons,2015-06-01,2015-06-30,Q22e,with_only_children,0
Data not collected,103,all_persons,2015-06-01,2015-06-30,Q22e,unknown_household_type,0
Total persons,273,all_persons,2015-06-01,2015-06-30,Q22e,without_children,155
Total persons,273,all_persons,2015-06-01,2015-06-30,Q22e,with_children_and_adults,118
Total persons,273,all_persons,2015-06-01,2015-06-30,Q22e,with_only_children,0
Total persons,273,all_persons,2015-06-01,2015-06-30,Q22e,unknown_household_type,0
