"""Total Number of Persons Served""",1085
"""Number of Adults (age 18 or over)""",837
"""Number of Children (under age 18)""",239
"""Number of Persons with Unknown Age""",9
"""Number of Leavers""",217
"""Number of Adult Leavers""",187
"""Number of Adult and Head of Household Leavers""",187
"""Number of Stayers""",868
"""Number of Adult Stayers""",650
"""Number of Veterans""",48
"""Number of Chronically Homeless Persons""",148
"""Number of Youth Under Age 25""",62
"""Number of Parenting Youth Under Age 25 with Children""",10
"""Number of Adult Heads of Household""",683
"""Number of Child and Unknown-Age Heads of Household""",0
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",214
