"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",160,8,27
"""Adults with Only Other Income""",187,35,31
"""Adults with Both Earned and Other Income""",32,1,6
"""Adults with No Income""",432,15,119
"""Adults with Client Doesn't Know/Client Refused Income Information""",3,0,2
"""Adults with Missing Income Information""",18,0,2
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,436,0
"""Number of Adult Stayers without Required Annual Assessment""",0,155,0
"""Total Adults""",837,650,187
"""1 or More Source of Income""",424,45,72
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,59,0
