, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",10,14,24,0.42,1,7,8,0.13,0,1,1,0.0
"""Supplemental Security Income (SSI)""",12,2,14,0.86,1,0,1,1.0,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",12,1,13,0.92,2,0,2,1.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",2,0,2,1.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",1,1,2,0.5,1,1,2,0.5,0,0,0,0.0
"""Retirement Income from Social Security""",0,1,1,0.0,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",1,1,2,0.5,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,1,1,0.0,0,0,0,0.0,0,0,0,0.0
"""Other source""",3,3,6,0.5,0,0,0,0.0,0,0,0,0.0
"""No Sources""",24,39,63,0.38,4,7,11,0.36,0,0,0,0.0
"""Unduplicated Total Adults""",57,57,114,,7,15,22,,0,1,1,
