, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""No Income""",332,9,84
"""$1 -  $150""",5,0,0
"""$151 - $250""",6,0,1
"""$251 - $500""",21,1,4
"""$501 - $1000""",130,19,19
"""$1001 - $1500""",84,13,16
"""$1501 - $2000""",72,7,12
"""$2001+""",61,4,12
"""Client Doesn't Know/Client Refused""",3,0,2
"""Data Not Collected""",123,6,37
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,436,0
"""Number of Adult Stayers without Required Annual Assessment""",0,155,0
"""Total Adults""",837,650,187
