, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""No Income""",175,2,56
"""$1 -  $150""",4,0,1
"""$151 - $250""",3,0,0
"""$251 - $500""",21,0,4
"""$501 - $1000""",84,3,25
"""$1001 - $1500""",56,1,19
"""$1501 - $2000""",27,0,15
"""$2001+""",22,2,9
"""Client Doesn't Know/Client Refused""",1,0,0
"""Data Not Collected""",26,0,5
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,196,0
"""Number of Adult Stayers without Required Annual Assessment""",0,81,0
"""Total Adults""",419,285,134
