, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",33,14,19,0,0
"""8 to 14 days""",0,0,0,0,0
"""15 to 21 days""",0,0,0,0,0
"""22 to 30 days""",5,3,2,0,0
"""31 to 60 days""",22,12,10,0,0
"""61 to 180 days""",51,30,21,0,0
"""181 to 365 days""",22,19,3,0,0
"""366-730 days (1-2 years)""",12,12,0,0,0
"""731 days or more""",20,20,0,0,0
"""Total (persons moved into housing)""",165,110,55,0,0
"""Not yet moved into housing""",17,3,14,0,0
"""Data not collected""",95,62,33,0,0
"""Total persons""",277,175,102,0,0
