"""Total Number of Persons Served""",573
"""Number of Adults (age 18 or over)""",419
"""Number of Children (under age 18)""",154
"""Number of Persons with Unknown Age""",0
"""Number of Leavers""",180
"""Number of Adult Leavers""",134
"""Number of Adult and Head of Household Leavers""",134
"""Number of Stayers""",393
"""Number of Adult Stayers""",285
"""Number of Veterans""",19
"""Number of Chronically Homeless Persons""",26
"""Number of Youth Under Age 25""",32
"""Number of Parenting Youth Under Age 25 with Children""",13
"""Number of Adult Heads of Household""",323
"""Number of Child and Unknown-Age Heads of Household""",0
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",89
