, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",2,18,20,0.1,1,16,17,0.06,0,0,0,0.0
"""Supplemental Security Income (SSI)""",8,3,11,0.73,1,2,3,0.33,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",11,3,14,0.79,2,0,2,1.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Retirement Income from Social Security""",0,7,7,0.0,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",0,3,3,0.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,1,1,0.0,1,5,6,0.17,0,0,0,0.0
"""Other source""",2,2,4,0.5,1,1,2,0.5,0,0,0,0.0
"""No Sources""",11,30,41,0.27,0,12,12,0.0,0,0,0,0.0
"""Unduplicated Total Adults""",30,59,89,,3,31,34,,0,0,0,
