, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",106,2,40
"""Unemployment Insurance""",6,1,1
"""Supplemental Security Income (SSI)""",49,3,14
"""Social Security Disability Insurance (SSDI)""",58,2,16
"""VA Service - Connected Disability Compensation""",2,0,1
"""VA Non-Service Connected Disability Pension""",3,0,2
"""Private Disability Insurance""",1,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",4,0,0
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",11,0,7
"""Pension or retirement income from a former job""",3,0,3
"""Child Support""",17,0,7
"""Alimony and other spousal support""",0,0,0
"""Other Source""",7,0,2
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,8,0
