, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",66,43,23,0,0
"""Transitional housing for homeless persons (including homeless youth)""",1,1,0,0,0
"""Place not meant for human habitation""",50,44,6,0,0
"""Safe Haven""",0,0,0,0,0
"""Host Home""",0,0,0,0,0
"""Subtotal""",117,88,29,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",4,4,0,0,0
"""Substance abuse treatment facility or detox center""",3,3,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",7,7,0,0,0
"""Jail, prison or juvenile detention facility""",10,10,0,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",1,1,0,0,0
"""Subtotal""",25,25,0,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",2,2,0,0,0
"""Owned by client, no ongoing housing subsidy""",35,20,15,0,0
"""Owned by client, with ongoing housing subsidy""",0,0,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Rental by client, no ongoing housing subsidy""",121,87,34,0,0
"""Rental by client, with VASH housing subsidy""",0,0,0,0,0
"""Rental by client, with GPD TIP housing subsidy""",0,0,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",5,5,0,0,0
"""Hotel or motel paid for without emergency shelter voucher""",15,9,6,0,0
"""Staying or living in a friend''s room, apartment or house""",47,36,11,0,0
"""Staying or living in a family member''s room, apartment or house""",48,29,19,0,0
"""Client Doesn''t Know/Client Refused""",2,2,0,0,0
"""Data not collected""",2,2,0,0,0
"""Subtotal""",277,192,85,0,0
"""Total""",419,305,114,0,0
