, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",143,121,22,0,0
"""Transitional housing for homeless persons (including homeless youth)""",2,2,0,0,0
"""Place not meant for human habitation""",217,201,16,0,0
"""Safe Haven""",6,4,2,0,0
"""Host Home""",0,0,0,0,0
"""Subtotal""",368,328,40,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",8,8,0,0,0
"""Substance abuse treatment facility or detox center""",9,9,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",21,21,0,0,0
"""Jail, prison or juvenile detention facility""",23,23,0,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",1,1,0,0,0
"""Residential project or halfway house with no homeless criteria""",1,1,0,0,0
"""Subtotal""",63,63,0,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",1,1,0,0,0
"""Owned by client, no ongoing housing subsidy""",7,6,1,0,0
"""Owned by client, with ongoing housing subsidy""",1,1,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",1,1,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Rental by client, no ongoing housing subsidy""",187,142,43,0,2
"""Rental by client, with VASH housing subsidy""",0,0,0,0,0
"""Rental by client, with GPD TIP housing subsidy""",1,0,1,0,0
"""Rental by client, with other housing subsidy (including RRH)""",8,8,0,0,0
"""Hotel or motel paid for without emergency shelter voucher""",88,69,18,0,1
"""Staying or living in a friend''s room, apartment or house""",69,58,11,0,0
"""Staying or living in a family member''s room, apartment or house""",90,62,28,0,0
"""Client Doesn''t Know/Client Refused""",2,2,0,0,0
"""Data not collected""",21,15,6,0,0
"""Subtotal""",476,365,108,0,3
"""Total""",907,756,148,0,3
