, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",192,6,34
"""Unemployment Insurance""",5,0,1
"""Supplemental Security Income (SSI)""",117,22,20
"""Social Security Disability Insurance (SSDI)""",86,12,14
"""VA Service - Connected Disability Compensation""",5,2,4
"""VA Non-Service Connected Disability Pension""",4,4,1
"""Private Disability Insurance""",1,0,0
"""Worker's Compensation""",1,0,0
"""Temporary Assistance for Needy Families (TANF)""",13,1,2
"""General Assistance (GA)""",1,0,1
"""Retirement Income from Social Security""",19,3,3
"""Pension or retirement income from a former job""",5,1,0
"""Child Support""",9,0,2
"""Alimony and other spousal support""",0,0,0
"""Other Source""",6,1,1
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,57,0
