, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Permanent Destinations""",,,,,
"""Moved from one HOPWA funded project to HOPWA PH""",0,0,0,0,0
"""Owned by client, no ongoing subsidy""",0,0,0,0,0
"""Owned by client, with ongoing subsidy""",0,0,0,0,0
"""Rental by client, no ongoing subsidy""",42,23,19,0,0
"""Rental by client, with VASH subsidy""",0,0,0,0,0
"""Rental by client, with GPD TIP subsidy""",0,0,0,0,0
"""Rental by client, other ongoing subsidy""",15,4,7,4,0
"""Permanent housing (other than RRH) for formerly homeless persons""",2,2,0,0,0
"""Staying or living with family, permanent tenure""",3,0,3,0,0
"""Staying or living with friends, permanent tenure""",6,6,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",22,2,19,1,0
"""Rental by client in a public housing unit""",1,1,0,0,0
"""Subtotal""",91,38,48,5,0
"""Temporary Destinations""",,,,,
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",12,12,0,0,0
"""Moved from one HOPWA funded project to HOPWA TH""",0,0,0,0,0
"""Transitional housing for homeless persons (including homeless youth)""",1,1,0,0,0
"""Staying or living with family, temporary tenure""",12,10,2,0,0
"""Staying or living with friends, temporary tenure""",9,9,0,0,0
"""Place not meant for human habitation""",21,19,2,0,0
"""Safe Haven""",0,0,0,0,0
"""Hotel or motel, paid by client""",23,17,6,0,0
"""Host Home (non-crisis) """,0,0,0,0,0
"""Subtotal""",78,68,10,0,0
"""Institutional Settings""",,,,,
"""Foster care home or group foster care home""",0,0,0,0,0
"""Psychiatric hospital or other psychiatric facility""",0,0,0,0,0
"""Substance abuse treatment facility or detox center""",2,2,0,0,0
"""Hospital  or other residential non-psychiatric medical facility""",5,5,0,0,0
"""Jail, prison, or juvenile detention facility""",6,6,0,0,0
"""Long-term care facility or nursing home""",1,1,0,0,0
"""Subtotal""",14,14,0,0,0
"""Other Destinations""",,,,,
"""Residential project or halfway house with no homeless criteria""",1,1,0,0,0
"""Deceased""",1,1,0,0,0
"""Other""",20,14,6,0,0
"""Client Doesn't Know/Client Refused""",2,2,0,0,0
"""Data Not Collected (no exit interview completed)""",32,32,0,0,0
"""Subtotal""",56,50,6,0,0
"""Total""",239,170,64,5,0
"""Total persons exiting to positive housing destinations""",52,14,38,0,0
"""Total persons whose destinations excluded them from the calculation""",3,3,0,0,0
"""Percentage""",0.22,0.08,0.59,0.0,0.0
