, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",9,15,24,0.38,3,5,8,0.38,0,0,0,0.0
"""Supplemental Security Income (SSI)""",18,1,19,0.95,2,1,3,0.67,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",8,0,8,1.0,2,1,3,0.67,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",3,1,4,0.75,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",1,0,1,1.0,0,1,1,0.0,0,0,0,0.0
"""Retirement Income from Social Security""",2,0,3,0.67,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,0,0,0.0,1,1,2,0.5,0,0,0,0.0
"""Other source""",3,0,3,1.0,1,0,1,1.0,0,0,0,0.0
"""No Sources""",34,24,58,0.59,4,1,5,0.8,0,0,0,0.0
"""Unduplicated Total Adults""",67,40,107,,13,8,21,,0,0,0,
