"""Total Number of Persons Served""",1160
"""Number of Adults (age 18 or over)""",907
"""Number of Children (under age 18)""",243
"""Number of Persons with Unknown Age""",10
"""Number of Leavers""",239
"""Number of Adult Leavers""",195
"""Number of Adult and Head of Household Leavers""",195
"""Number of Stayers""",921
"""Number of Adult Stayers""",712
"""Number of Veterans""",55
"""Number of Chronically Homeless Persons""",178
"""Number of Youth Under Age 25""",63
"""Number of Parenting Youth Under Age 25 with Children""",10
"""Number of Adult Heads of Household""",745
"""Number of Child and Unknown-Age Heads of Household""",0
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",358
