"""Total Number of Persons Served""",1226
"""Number of Adults (age 18 or over)""",954
"""Number of Children (under age 18)""",262
"""Number of Persons with Unknown Age""",10
"""Number of Leavers""",218
"""Number of Adult Leavers""",192
"""Number of Adult and Head of Household Leavers""",192
"""Number of Stayers""",1008
"""Number of Adult Stayers""",762
"""Number of Veterans""",54
"""Number of Chronically Homeless Persons""",191
"""Number of Youth Under Age 25""",66
"""Number of Parenting Youth Under Age 25 with Children""",13
"""Number of Adult Heads of Household""",788
"""Number of Child and Unknown-Age Heads of Household""",0
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",301
