"""Number of Youth by Income Category""", "Number of Youth at Start" , "Number of Youth at Annual Assessment (Stayers)" , "Number of Youth at Exit (Leavers)"
"""Youth with Only Earned Income (ie.e, Employment Income)""",11,0,1
"""Youth with Only Other Income""",4,0,1
"""Youth with Both Earned and Other Income""",0,0,0
"""Youth with No Income""",49,0,16
"""Youth with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Youth with Missing Income Information""",2,0,0
"""Number of Youth Stayers not yet Required to Have an Annual Assessment""",0,27,0
"""Number of Youth Stayers without Required Annual Assessment""",0,21,0
"""Total Youth""",66,48,18
"""1 or More Source of Income""",17,0,2
"""Youth with Income Information at Start and Annual Assessment/Exit""",0,0,0
