, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",194,8,35
"""Unemployment Insurance""",5,0,1
"""Supplemental Security Income (SSI)""",133,19,26
"""Social Security Disability Insurance (SSDI)""",89,13,16
"""VA Service - Connected Disability Compensation""",7,2,2
"""VA Non-Service Connected Disability Pension""",5,2,1
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",17,1,5
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",17,4,2
"""Pension or retirement income from a former job""",5,0,1
"""Child Support""",14,0,3
"""Alimony and other spousal support""",1,0,1
"""Other Source""",11,0,2
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,60,0
