, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",119,76,43,0,0
"""8 to 14 days""",8,8,0,0,0
"""15 to 21 days""",7,4,3,0,0
"""22 to 30 days""",8,6,2,0,0
"""31 to 60 days""",26,16,10,0,0
"""61 to 180 days""",57,35,22,0,0
"""181 to 365 days""",38,26,12,0,0
"""366-730 days (1-2 years)""",38,38,0,0,0
"""731 days or more""",73,62,11,0,0
"""Total (persons moved into housing)""",374,271,103,0,0
"""Not yet moved into housing""",38,23,15,0,0
"""Data not collected""",13,13,0,0,0
"""Total persons""",425,307,118,0,0
