, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",144,128,16,0,0
"""Transitional housing for homeless persons (including homeless youth)""",2,2,0,0,0
"""Place not meant for human habitation""",232,213,19,0,0
"""Safe Haven""",2,0,2,0,0
"""Host Home""",1,1,0,0,0
"""Subtotal""",381,344,37,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",9,9,0,0,0
"""Substance abuse treatment facility or detox center""",5,5,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",16,16,0,0,0
"""Jail, prison or juvenile detention facility""",23,23,0,0,0
"""Foster care home or foster care group home""",1,1,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",3,3,0,0,0
"""Subtotal""",57,57,0,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Owned by client, no ongoing housing subsidy""",6,6,0,0,0
"""Owned by client, with ongoing housing subsidy""",1,1,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",1,1,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",1,0,1,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Rental by client, no ongoing housing subsidy""",187,135,49,0,3
"""Rental by client, with VASH housing subsidy""",3,3,0,0,0
"""Rental by client, with GPD TIP housing subsidy""",0,0,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",9,4,5,0,0
"""Hotel or motel paid for without emergency shelter voucher""",101,77,23,0,1
"""Staying or living in a friend''s room, apartment or house""",88,70,18,0,0
"""Staying or living in a family member''s room, apartment or house""",96,64,32,0,0
"""Client Doesn''t Know/Client Refused""",4,4,0,0,0
"""Data not collected""",19,13,6,0,0
"""Subtotal""",516,378,134,0,4
"""Total""",954,779,171,0,4
