, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",11,13,24,0.46,2,11,13,0.15,0,0,0,0.0
"""Supplemental Security Income (SSI)""",22,0,22,1.0,3,0,3,1.0,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",18,0,18,1.0,0,0,0,0.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",2,0,2,1.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",2,2,4,0.5,0,1,1,0.0,0,0,0,0.0
"""Retirement Income from Social Security""",2,0,2,1.0,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,0,0,0.0,0,2,2,0.0,0,0,0,0.0
"""Other source""",6,1,7,0.86,0,0,0,0.0,0,0,0,0.0
"""No Sources""",19,29,48,0.4,1,4,5,0.2,0,0,0,0.0
"""Unduplicated Total Adults""",67,43,110,,6,15,21,,0,0,0,
