"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",160,8,28
"""Adults with Only Other Income""",213,35,35
"""Adults with Both Earned and Other Income""",33,0,7
"""Adults with No Income""",524,17,122
"""Adults with Client Doesn't Know/Client Refused Income Information""",2,0,0
"""Adults with Missing Income Information""",17,0,0
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,461,0
"""Number of Adult Stayers without Required Annual Assessment""",0,241,0
"""Total Adults""",954,762,192
"""1 or More Source of Income""",449,44,72
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,60,0
