"""Total Number of Persons Served""",500
"""Number of Adults (age 18 or over)""",339
"""Number of Children (under age 18)""",160
"""Number of Persons with Unknown Age""",1
"""Number of Leavers""",63
"""Number of Adult Leavers""",37
"""Number of Adult and Head of Household Leavers""",37
"""Number of Stayers""",437
"""Number of Adult Stayers""",302
"""Number of Veterans""",23
"""Number of Chronically Homeless Persons""",77
"""Number of Youth Under Age 25""",25
"""Number of Parenting Youth Under Age 25 with Children""",9
"""Number of Adult Heads of Household""",277
"""Number of Child and Unknown-Age Heads of Household""",1
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",88
