"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",80,4,15
"""Adults with Only Other Income""",96,30,6
"""Adults with Both Earned and Other Income""",16,1,4
"""Adults with No Income""",142,11,12
"""Adults with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Adults with Missing Income Information""",5,0,0
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,214,0
"""Number of Adult Stayers without Required Annual Assessment""",0,42,0
"""Total Adults""",339,302,37
"""1 or More Source of Income""",204,38,25
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,46,0
