, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",2,6,8,0.25,2,9,11,0.18,0,0,0,0.0
"""Supplemental Security Income (SSI)""",3,0,3,1.0,0,0,0,0.0,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",3,0,3,1.0,0,0,0,0.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",0,0,0,0.0,2,1,3,0.67,0,0,0,0.0
"""Retirement Income from Social Security""",0,1,1,0.0,0,1,1,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Other source""",1,0,1,1.0,0,1,1,0.0,0,0,0,0.0
"""No Sources""",5,0,5,1.0,1,3,4,0.25,0,0,0,0.0
"""Unduplicated Total Adults""",11,6,17,,4,13,17,,0,0,0,
