, "At Start" , "At Annual Assessment for Stayers" , "At Exit for Leavers"
"""MEDICAID""",255,26,38
"""MEDICARE""",50,15,6
"""State Children's Health Insurance Program""",3,0,0
"""Veteran's Administration (VA) Medical Services""",13,11,1
"""Employer - Provided Health Insurance""",8,0,1
"""Health Insurance obtained through COBRA""",1,0,0
"""Private Pay Health Insurance""",27,0,1
"""State Health Insurance for Adults""",6,0,1
"""Indian Health Services Program""",2,0,0
"""Other""",5,0,1
"""No Health Insurance""",165,11,22
"""Client Doesn't Know/Client Refused""",0,0,0
"""Data Not Collected""",17,53,0
"""Number of Stayers not yet Required To Have an Annual Assessment""",0,336,0
"""1 Source of Health Insurance""",283,25,34
"""More than 1 Source of Health Insurance""",37,12,7
