, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",96,5,19
"""Unemployment Insurance""",0,0,0
"""Supplemental Security Income (SSI)""",50,23,3
"""Social Security Disability Insurance (SSDI)""",40,10,3
"""VA Service - Connected Disability Compensation""",5,3,0
"""VA Non-Service Connected Disability Pension""",2,1,0
"""Private Disability Insurance""",1,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",14,1,3
"""General Assistance (GA)""",1,0,0
"""Retirement Income from Social Security""",6,2,2
"""Pension or retirement income from a former job""",4,0,0
"""Child Support""",6,0,0
"""Alimony and other spousal support""",0,0,0
"""Other Source""",2,0,2
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,46,0
