ch_status_households,total,population,start_date,end_date,question,household_type,count
Chronically Homeless ,53,all_households,2016-12-01,2016-12-31,Q26a,without_children,53
Chronically Homeless ,53,all_households,2016-12-01,2016-12-31,Q26a,with_children_and_adults,0
Chronically Homeless ,53,all_households,2016-12-01,2016-12-31,Q26a,with_only_children,0
Chronically Homeless ,53,all_households,2016-12-01,2016-12-31,Q26a,unknown_household_type,0
Not Chronically Homeless,315,all_households,2016-12-01,2016-12-31,Q26a,without_children,220
Not Chronically Homeless,315,all_households,2016-12-01,2016-12-31,Q26a,with_children_and_adults,95
Not Chronically Homeless,315,all_households,2016-12-01,2016-12-31,Q26a,with_only_children,0
Not Chronically Homeless,315,all_households,2016-12-01,2016-12-31,Q26a,unknown_household_type,0
Client Doesn't Know/Client Refused,4,all_households,2016-12-01,2016-12-31,Q26a,without_children,4
Client Doesn't Know/Client Refused,4,all_households,2016-12-01,2016-12-31,Q26a,with_children_and_adults,0
Client Doesn't Know/Client Refused,4,all_households,2016-12-01,2016-12-31,Q26a,with_only_children,0
Client Doesn't Know/Client Refused,4,all_households,2016-12-01,2016-12-31,Q26a,unknown_household_type,0
Data Not Collected,32,all_households,2016-12-01,2016-12-31,Q26a,without_children,30
Data Not Collected,32,all_households,2016-12-01,2016-12-31,Q26a,with_children_and_adults,2
Data Not Collected,32,all_households,2016-12-01,2016-12-31,Q26a,with_only_children,0
Data Not Collected,32,all_households,2016-12-01,2016-12-31,Q26a,unknown_household_type,0
