dv_fleeing,total,population,start_date,end_date,question,household_type,count
Yes,9,all_persons,2016-12-01,2016-12-31,Q14b,without_children,4
Yes,9,all_persons,2016-12-01,2016-12-31,Q14b,with_children_and_adults,5
Yes,9,all_persons,2016-12-01,2016-12-31,Q14b,with_only_children,0
Yes,9,all_persons,2016-12-01,2016-12-31,Q14b,unknown_household_type,0
No,44,all_persons,2016-12-01,2016-12-31,Q14b,without_children,18
No,44,all_persons,2016-12-01,2016-12-31,Q14b,with_children_and_adults,26
No,44,all_persons,2016-12-01,2016-12-31,Q14b,with_only_children,0
No,44,all_persons,2016-12-01,2016-12-31,Q14b,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_persons,2016-12-01,2016-12-31,Q14b,without_children,0
Client Doesn't Know/Client Refused,1,all_persons,2016-12-01,2016-12-31,Q14b,with_children_and_adults,1
Client Doesn't Know/Client Refused,1,all_persons,2016-12-01,2016-12-31,Q14b,with_only_children,0
Client Doesn't Know/Client Refused,1,all_persons,2016-12-01,2016-12-31,Q14b,unknown_household_type,0
Data Not Collected,16,all_persons,2016-12-01,2016-12-31,Q14b,without_children,16
Data Not Collected,16,all_persons,2016-12-01,2016-12-31,Q14b,with_children_and_adults,0
Data Not Collected,16,all_persons,2016-12-01,2016-12-31,Q14b,with_only_children,0
Data Not Collected,16,all_persons,2016-12-01,2016-12-31,Q14b,unknown_household_type,0
