length,total,population,start_date,end_date,question,status,count
30 days or less,221,all_persons,2016-12-01,2016-12-31,Q22a1,leavers,94
30 days or less,221,all_persons,2016-12-01,2016-12-31,Q22a1,stayers,127
31 to 60 days,90,all_persons,2016-12-01,2016-12-31,Q22a1,leavers,16
31 to 60 days,90,all_persons,2016-12-01,2016-12-31,Q22a1,stayers,74
61 to 90 days,74,all_persons,2016-12-01,2016-12-31,Q22a1,leavers,19
61 to 90 days,74,all_persons,2016-12-01,2016-12-31,Q22a1,stayers,55
91 to 180 days,146,all_persons,2016-12-01,2016-12-31,Q22a1,leavers,53
91 to 180 days,146,all_persons,2016-12-01,2016-12-31,Q22a1,stayers,93
181 to 365 days,82,all_persons,2016-12-01,2016-12-31,Q22a1,leavers,14
181 to 365 days,82,all_persons,2016-12-01,2016-12-31,Q22a1,stayers,68
366 to 730 Days (1-2 Yrs),34,all_persons,2016-12-01,2016-12-31,Q22a1,leavers,4
366 to 730 Days (1-2 Yrs),34,all_persons,2016-12-01,2016-12-31,Q22a1,stayers,30
"731 to 1,095 Days (2-3 Yrs)",4,all_persons,2016-12-01,2016-12-31,Q22a1,leavers,0
"731 to 1,095 Days (2-3 Yrs)",4,all_persons,2016-12-01,2016-12-31,Q22a1,stayers,4
"1,096 to 1,460 Days (3-4 Yrs)",9,all_persons,2016-12-01,2016-12-31,Q22a1,leavers,0
"1,096 to 1,460 Days (3-4 Yrs)",9,all_persons,2016-12-01,2016-12-31,Q22a1,stayers,9
"1,461 to 1,825 Days (5-5 Yrs)",16,all_persons,2016-12-01,2016-12-31,Q22a1,leavers,0
"1,461 to 1,825 Days (5-5 Yrs)",16,all_persons,2016-12-01,2016-12-31,Q22a1,stayers,16
"More than 1,825 Days (>5 Yrs)",60,all_persons,2016-12-01,2016-12-31,Q22a1,leavers,0
"More than 1,825 Days (>5 Yrs)",60,all_persons,2016-12-01,2016-12-31,Q22a1,stayers,60
Data Not Collected,0,all_persons,2016-12-01,2016-12-31,Q22a1,leavers,0
Data Not Collected,0,all_persons,2016-12-01,2016-12-31,Q22a1,stayers,0
