veteran_status_persons,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,16,all_persons,2016-12-01,2016-12-31,Q25a,without_children,16
Chronically Homeless Veteran,16,all_persons,2016-12-01,2016-12-31,Q25a,with_children_and_adults,0
Chronically Homeless Veteran,16,all_persons,2016-12-01,2016-12-31,Q25a,unknown_household_type,0
Non-Chronically Homeless Veteran,8,all_persons,2016-12-01,2016-12-31,Q25a,without_children,7
Non-Chronically Homeless Veteran,8,all_persons,2016-12-01,2016-12-31,Q25a,with_children_and_adults,1
Non-Chronically Homeless Veteran,8,all_persons,2016-12-01,2016-12-31,Q25a,unknown_household_type,0
Not a Veteran,458,all_persons,2016-12-01,2016-12-31,Q25a,without_children,306
Not a Veteran,458,all_persons,2016-12-01,2016-12-31,Q25a,with_children_and_adults,151
Not a Veteran,458,all_persons,2016-12-01,2016-12-31,Q25a,unknown_household_type,1
Client Doesn't Know/Client Refused,1,all_persons,2016-12-01,2016-12-31,Q25a,without_children,1
Client Doesn't Know/Client Refused,1,all_persons,2016-12-01,2016-12-31,Q25a,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_persons,2016-12-01,2016-12-31,Q25a,unknown_household_type,0
Data Not Collected,13,all_persons,2016-12-01,2016-12-31,Q25a,without_children,13
Data Not Collected,13,all_persons,2016-12-01,2016-12-31,Q25a,with_children_and_adults,0
Data Not Collected,13,all_persons,2016-12-01,2016-12-31,Q25a,unknown_household_type,0
