number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2016-12-01,2016-12-31,Q18,number_of_adults_at_start,122
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2016-12-01,2016-12-31,Q18,number_of_adults_at_annual_assessment_stayers,0
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2016-12-01,2016-12-31,Q18,number_of_adults_at_exit_leavers,36
Adults with Only Other Income,all_persons,2016-12-01,2016-12-31,Q18,number_of_adults_at_start,132
Adults with Only Other Income,all_persons,2016-12-01,2016-12-31,Q18,number_of_adults_at_annual_assessment_stayers,18
Adults with Only Other Income,all_persons,2016-12-01,2016-12-31,Q18,number_of_adults_at_exit_leavers,22
Adults with Both Earned and Other Income,all_persons,2016-12-01,2016-12-31,Q18,number_of_adults_at_start,26
Adults with Both Earned and Other Income,all_persons,2016-12-01,2016-12-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Both Earned and Other Income,all_persons,2016-12-01,2016-12-31,Q18,number_of_adults_at_exit_leavers,5
Adults with No Income,all_persons,2016-12-01,2016-12-31,Q18,number_of_adults_at_start,210
Adults with No Income,all_persons,2016-12-01,2016-12-31,Q18,number_of_adults_at_annual_assessment_stayers,7
Adults with No Income,all_persons,2016-12-01,2016-12-31,Q18,number_of_adults_at_exit_leavers,61
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2016-12-01,2016-12-31,Q18,number_of_adults_at_start,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2016-12-01,2016-12-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2016-12-01,2016-12-31,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2016-12-01,2016-12-31,Q18,number_of_adults_at_start,6
Adults with Missing Income Information,all_persons,2016-12-01,2016-12-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2016-12-01,2016-12-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2016-12-01,2016-12-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2016-12-01,2016-12-31,Q18,number_of_adults_at_annual_assessment_stayers,262
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2016-12-01,2016-12-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2016-12-01,2016-12-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2016-12-01,2016-12-31,Q18,number_of_adults_at_annual_assessment_stayers,85
Number of Adult Stayers without Required Annual Assessment,all_persons,2016-12-01,2016-12-31,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2016-12-01,2016-12-31,Q18,number_of_adults_at_start,496
Total Adults,all_persons,2016-12-01,2016-12-31,Q18,number_of_adults_at_annual_assessment_stayers,372
Total Adults,all_persons,2016-12-01,2016-12-31,Q18,number_of_adults_at_exit_leavers,124
1 or More Source of Income,all_persons,2016-12-01,2016-12-31,Q18,number_of_adults_at_start,298
1 or More Source of Income,all_persons,2016-12-01,2016-12-31,Q18,number_of_adults_at_annual_assessment_stayers,21
1 or More Source of Income,all_persons,2016-12-01,2016-12-31,Q18,number_of_adults_at_exit_leavers,72
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2016-12-01,2016-12-31,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2016-12-01,2016-12-31,Q18,number_of_adults_at_annual_assessment_stayers,25
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2016-12-01,2016-12-31,Q18,number_of_adults_at_exit_leavers,0
