report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,736,all_persons,2016-12-01,2016-12-31,Q5a
Number of Adults (age 18 or over),496,all_persons,2016-12-01,2016-12-31,Q5a
Number of Children (under age 18),238,all_persons,2016-12-01,2016-12-31,Q5a
Number of Persons with Unknown Age,2,all_persons,2016-12-01,2016-12-31,Q5a
Number of Leavers,200,all_persons,2016-12-01,2016-12-31,Q5a
Number of Adult Leavers,124,all_persons,2016-12-01,2016-12-31,Q5a
Number of Adult and Head of Household Leavers,124,all_persons,2016-12-01,2016-12-31,Q5a
Number of Stayers,536,all_persons,2016-12-01,2016-12-31,Q5a
Number of Adult Stayers,372,all_persons,2016-12-01,2016-12-31,Q5a
Number of Veterans,24,all_persons,2016-12-01,2016-12-31,Q5a
Number of Chronically Homeless Persons,57,all_persons,2016-12-01,2016-12-31,Q5a
Number of Youth Under Age 25,28,all_persons,2016-12-01,2016-12-31,Q5a
Number of Parenting Youth Under Age 25 with Children,11,all_persons,2016-12-01,2016-12-31,Q5a
Number of Adult Heads of Household,404,all_persons,2016-12-01,2016-12-31,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2016-12-01,2016-12-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,111,all_persons,2016-12-01,2016-12-31,Q5a
