"""Total Number of Persons Served""",1894
"""Number of Adults (age 18 or over)""",1433
"""Number of Children (under age 18)""",446
"""Number of Persons with Unknown Age""",15
"""Number of Leavers""",284
"""Number of Adult Leavers""",209
"""Number of Adult and Head of Household Leavers""",210
"""Number of Stayers""",1610
"""Number of Adult Stayers""",1224
"""Number of Veterans""",84
"""Number of Chronically Homeless Persons""",210
"""Number of Youth Under Age 25""",107
"""Number of Parenting Youth Under Age 25 with Children""",9
"""Number of Adult Heads of Household""",1156
"""Number of Child and Unknown-Age Heads of Household""",4
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",475
