, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""No Income""",586,10,59
"""$1 -  $150""",4,0,0
"""$151 - $250""",8,0,1
"""$251 - $500""",32,2,4
"""$501 - $1000""",160,15,19
"""$1001 - $1500""",110,14,17
"""$1501 - $2000""",95,7,14
"""$2001+""",100,6,20
"""Client Doesn't Know/Client Refused""",3,0,0
"""Data Not Collected""",335,0,75
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,749,0
"""Number of Adult Stayers without Required Annual Assessment""",0,421,0
"""Total Adults""",1433,1224,209
