, "Total" , "Without Children", "With Children and Adults", "With Only Children", "Unknown Household Type"
"""7 days or less""",15,10,5,0,0
"""8 to 14 days""",2,0,2,0,0
"""15 to 21 days""",2,1,1,0,0
"""22 to 30 days""",0,0,0,0,0
"""31 to 60 days""",0,0,0,0,0
"""61 to 180 days""",0,0,0,0,0
"""181 to 365 days""",0,0,0,0,0
"""366 to 730 days (1-2 Yrs)""",0,0,0,0,0
"""Total (persons moved into housing)""",19,11,8,0,0
"""Average length of time to housing""",5,3,8,0,0
"""Persons who were exited without move-in""",4,4,0,0,0
"""Total""",23,15,8,0,0
