"""Number of Youth by Income Category""", "Number of Youth at Start" , "Number of Youth at Annual Assessment (Stayers)" , "Number of Youth at Exit (Leavers)"
"""Youth with Only Earned Income (ie.e, Employment Income)""",9,0,3
"""Youth with Only Other Income""",3,0,1
"""Youth with Both Earned and Other Income""",0,0,0
"""Youth with No Income""",77,0,11
"""Youth with Client Doesn't Know/Client Refused Income Information""",1,0,0
"""Youth with Missing Income Information""",17,0,2
"""Number of Youth Stayers not yet Required to Have an Annual Assessment""",0,60,0
"""Number of Youth Stayers without Required Annual Assessment""",0,30,0
"""Total Youth""",107,90,17
"""1 or More Source of Income""",15,0,4
"""Youth with Income Information at Start and Annual Assessment/Exit""",0,0,0
