, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",14,16,30,0.47,3,9,12,0.25,0,0,0,0.0
"""Supplemental Security Income (SSI)""",17,1,18,0.94,2,0,2,1.0,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",11,0,11,1.0,1,0,1,1.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",2,3,5,0.4,0,1,1,0.0,0,0,0,0.0
"""Retirement Income from Social Security""",0,2,3,0.0,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Other source""",2,1,3,0.67,0,0,0,0.0,0,0,0,0.0
"""No Sources""",18,16,34,0.53,2,11,13,0.15,0,0,0,0.0
"""Unduplicated Total Adults""",54,37,91,,7,20,27,,0,0,0,
