, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",181,122,59,0,0
"""8 to 14 days""",32,24,8,0,0
"""15 to 21 days""",17,17,0,0,0
"""22 to 30 days""",14,12,2,0,0
"""31 to 60 days""",24,17,7,0,0
"""61 to 180 days""",106,80,26,0,0
"""181 to 365 days""",59,54,4,1,0
"""366-730 days (1-2 years)""",50,50,0,0,0
"""731 days or more""",111,98,11,2,0
"""Total (persons moved into housing)""",594,474,117,3,0
"""Not yet moved into housing""",45,26,19,0,0
"""Data not collected""",89,40,41,6,2
"""Total persons""",728,540,177,9,2
