, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",66,36,30,0,0
"""8 to 14 days""",11,5,6,0,0
"""15 to 21 days""",6,2,4,0,0
"""22 to 30 days""",12,3,9,0,0
"""31 to 60 days""",30,16,14,0,0
"""61 to 180 days""",36,15,21,0,0
"""181 to 365 days""",29,16,13,0,0
"""366-730 days (1-2 years)""",27,26,1,0,0
"""731 days or more""",47,36,11,0,0
"""Total (persons moved into housing)""",264,155,109,0,0
"""Not yet moved into housing""",23,13,10,0,0
"""Data not collected""",10,6,4,0,0
"""Total persons""",297,174,123,0,0
