"""Total Number of Persons Served""",1191
"""Number of Adults (age 18 or over)""",821
"""Number of Children (under age 18)""",365
"""Number of Persons with Unknown Age""",5
"""Number of Leavers""",402
"""Number of Adult Leavers""",303
"""Number of Adult and Head of Household Leavers""",306
"""Number of Stayers""",789
"""Number of Adult Stayers""",518
"""Number of Veterans""",43
"""Number of Chronically Homeless Persons""",104
"""Number of Youth Under Age 25""",71
"""Number of Parenting Youth Under Age 25 with Children""",14
"""Number of Adult Heads of Household""",671
"""Number of Child and Unknown-Age Heads of Household""",4
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",140
